"The Alestle, November 14, 1998",../Alestle/text/Ales_1998_11_05.txt,../Alestle/text/Ales_1998_11_05.txt,,Vol.51 No.21,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"November 14, 1998",
"The Alestle, April 30, 1998",../Alestle/text/Ales_1998_04_30.txt,../Alestle/text/Ales_1998_04_30.txt,,Vol.50 No.67,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"April 30, 1998",
"The Alestle, October 27, 1998",../Alestle/text/Ales_1998_10_27.txt,../Alestle/text/Ales_1998_10_27.txt,,Vol.51 No.18,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"October 27, 1998",
"The Alestle, December 10, 1998",../Alestle/text/Ales_1998_12_08.txt,../Alestle/text/Ales_1998_12_08.txt,,Vol.51 No.28,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"December 10, 1998",
"The Alestle, May 27, 1998",../Alestle/text/Ales_1998_05_27.txt,../Alestle/text/Ales_1998_05_27.txt,,Vol.50 No.68,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"May 27, 1998",
"The Alestle, April 12, 1998",../Alestle/text/Ales_1998_04_09.txt,../Alestle/text/Ales_1998_04_09.txt,,Vol.50 No.61,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"April 12, 1998",
"The Alestle, April 30, 1999",../Alestle/text/Ales_1998_03_03.txt,../Alestle/text/Ales_1998_03_03.txt,,Vol.50 No.52,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"April 30, 1999",
"The Alestle, March 31, 1998",../Alestle/text/Ales_1998_03_31.txt,../Alestle/text/Ales_1998_03_31.txt,,Vol.50 No.58,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"March 31, 1998",
"The Alestle, March 26, 1998",../Alestle/text/Ales_1998_03_26.txt,../Alestle/text/Ales_1998_03_26.txt,,Vol.50 No.57,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"March 26, 1998",
"The Alestle, June 24, 1998",../Alestle/text/Ales_1998_06_24.txt,../Alestle/text/Ales_1998_06_24.txt,,Vol.51 No.5,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"June 24, 1998",
"The Alestle, February 17, 1998",../Alestle/text/Ales_1998_02_17.txt,../Alestle/text/Ales_1998_02_17.txt,,Vol.50 No.48,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"February 17, 1998",
"The Alestle, March 24, 1998",../Alestle/text/Ales_1998_03_24.txt,../Alestle/text/Ales_1998_03_24.txt,,Vol.50 No.56,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"March 24, 1998",
"The Alestle, April 30, 1999",../Alestle/text/Ales_1998_03_05.txt,../Alestle/text/Ales_1998_03_05.txt,,Vol.50 No.53,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"April 30, 1999",
"The Alestle, November 17, 1998",../Alestle/text/Ales_1998_11_17.txt,../Alestle/text/Ales_1998_11_17.txt,,Vol.51 No.24,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"November 17, 1998",
"The Alestle, July 22, 1998",../Alestle/text/Ales_1998_07_22.txt,../Alestle/text/Ales_1998_07_22.txt,,Vol.51 No.8,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"July 22, 1998",
"The Alestle, January 29, 1998",../Alestle/text/Ales_1998_01_29.txt,../Alestle/text/Ales_1998_01_29.txt,,Vol.50 No.43,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"January 29, 1998",
"The Alestle, September 10, 1998",../Alestle/text/Ales_1998_09_10.txt,../Alestle/text/Ales_1998_09_10.txt,,Vol.51 No.5,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"September 10, 1998",
"The Alestle, January 28, 1998",../Alestle/text/Ales_1998_02_05.txt,../Alestle/text/Ales_1998_02_05.txt,,Vol.50 No.45,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"January 28, 1998",
"The Alestle, January 13, 1998",../Alestle/text/Ales_1998_01_13.txt,../Alestle/text/Ales_1998_01_13.txt,,Vol.50 No.38,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"January 13, 1998",
"The Alestle, October 13, 1998",../Alestle/text/Ales_1998_10_13.txt,../Alestle/text/Ales_1998_10_13.txt,,Vol.51 No.14,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"October 13, 1998",
"The Alestle, April 16, 1998",../Alestle/text/Ales_1998_04_16.txt,../Alestle/text/Ales_1998_04_16.txt,,Vol.50 No.63,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"April 16, 1998",
"The Alestle, September 24, 1998",../Alestle/text/Ales_1998_09_24.txt,../Alestle/text/Ales_1998_09_24.txt,,Vol.51 No.9,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"September 24, 1998",
"The Alestle, January 22, 1997",../Alestle/text/Ales_1998_01_22.txt,../Alestle/text/Ales_1998_01_22.txt,,Vol.50 No.40,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"January 22, 1997",
"The Alestle, February 26, 1998",../Alestle/text/Ales_1998_02_26.txt,../Alestle/text/Ales_1998_02_26.txt,,Vol.50 No.52,Southern Illinois University Edwardsville,,,,,,TRUE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,Book,,"February 26, 1998",
